#  Energy(Ry)          total             X             Y             Z
#  Broadening is:       0.0150000     Ry
      0.15300000E+00      0.16167290E-02      0.63309166E-03      0.64094540E-03      0.34269190E-03
      0.15400000E+00      0.16340494E-02      0.64001922E-03      0.64794811E-03      0.34608209E-03
      0.15500000E+00      0.16515006E-02      0.64700157E-03      0.65500603E-03      0.34949304E-03
      0.15600000E+00      0.16690838E-02      0.65403922E-03      0.66211967E-03      0.35292491E-03
      0.15700000E+00      0.16868001E-02      0.66113271E-03      0.66928957E-03      0.35637786E-03
      0.15800000E+00      0.17046509E-02      0.66828257E-03      0.67651626E-03      0.35985205E-03
      0.15900000E+00      0.17226373E-02      0.67548934E-03      0.68380031E-03      0.36334762E-03
      0.16000000E+00      0.17407606E-02      0.68275359E-03      0.69114225E-03      0.36686474E-03
      0.16100000E+00      0.17590221E-02      0.69007585E-03      0.69854265E-03      0.37040356E-03
      0.16200000E+00      0.17774230E-02      0.69745670E-03      0.70600206E-03      0.37396426E-03
      0.16300000E+00      0.17959648E-02      0.70489670E-03      0.71352108E-03      0.37754698E-03
      0.16400000E+00      0.18146486E-02      0.71239643E-03      0.72110026E-03      0.38115189E-03
      0.16500000E+00      0.18334758E-02      0.71995646E-03      0.72874020E-03      0.38477916E-03
      0.16600000E+00      0.18524478E-02      0.72757740E-03      0.73644149E-03      0.38842896E-03
      0.16700000E+00      0.18715660E-02      0.73525983E-03      0.74420472E-03      0.39210145E-03
      0.16800000E+00      0.18908317E-02      0.74300436E-03      0.75203051E-03      0.39579680E-03
      0.16900000E+00      0.19102463E-02      0.75081161E-03      0.75991947E-03      0.39951519E-03
      0.17000000E+00      0.19298112E-02      0.75868217E-03      0.76787222E-03      0.40325678E-03
      0.17100000E+00      0.19495278E-02      0.76661670E-03      0.77588938E-03      0.40702176E-03
      0.17200000E+00      0.19693977E-02      0.77461580E-03      0.78397160E-03      0.41081029E-03
      0.17300000E+00      0.19894222E-02      0.78268013E-03      0.79211952E-03      0.41462256E-03
      0.17400000E+00      0.20096029E-02      0.79081034E-03      0.80033378E-03      0.41845874E-03
      0.17500000E+00      0.20299411E-02      0.79900707E-03      0.80861505E-03      0.42231902E-03
      0.17600000E+00      0.20504386E-02      0.80727100E-03      0.81696399E-03      0.42620358E-03
      0.17700000E+00      0.20710967E-02      0.81560279E-03      0.82538128E-03      0.43011259E-03
      0.17800000E+00      0.20919170E-02      0.82400313E-03      0.83386760E-03      0.43404626E-03
      0.17900000E+00      0.21129011E-02      0.83247270E-03      0.84242365E-03      0.43800476E-03
      0.18000000E+00      0.21340506E-02      0.84101220E-03      0.85105012E-03      0.44198829E-03
      0.18100000E+00      0.21553671E-02      0.84962233E-03      0.85974772E-03      0.44599703E-03
      0.18200000E+00      0.21768522E-02      0.85830382E-03      0.86851718E-03      0.45003118E-03
      0.18300000E+00      0.21985075E-02      0.86705737E-03      0.87735920E-03      0.45409094E-03
      0.18400000E+00      0.22203348E-02      0.87588373E-03      0.88627454E-03      0.45817649E-03
      0.18500000E+00      0.22423356E-02      0.88478363E-03      0.89526394E-03      0.46228805E-03
      0.18600000E+00      0.22645118E-02      0.89375783E-03      0.90432814E-03      0.46642580E-03
      0.18700000E+00      0.22868649E-02      0.90280707E-03      0.91346791E-03      0.47058995E-03
      0.18800000E+00      0.23093969E-02      0.91193214E-03      0.92268402E-03      0.47478071E-03
