#  Energy(Ry)          total             X             Y             Z
#  Broadening is:       0.0150000     Ry
      0.15500000E+00      0.15937153E-01      0.71886437E-02      0.71418950E-02      0.16066142E-02
      0.15600000E+00      0.16132074E-01      0.72765300E-02      0.72292615E-02      0.16262829E-02
      0.15700000E+00      0.16328980E-01      0.73653096E-02      0.73175170E-02      0.16461531E-02
      0.15800000E+00      0.16527894E-01      0.74549937E-02      0.74066726E-02      0.16662273E-02
      0.15900000E+00      0.16728841E-01      0.75455935E-02      0.74967394E-02      0.16865083E-02
      0.16000000E+00      0.16931848E-01      0.76371204E-02      0.75877289E-02      0.17069985E-02
      0.16100000E+00      0.17136940E-01      0.77295862E-02      0.76796527E-02      0.17277007E-02
      0.16200000E+00      0.17344143E-01      0.78230026E-02      0.77725225E-02      0.17486176E-02
      0.16300000E+00      0.17553484E-01      0.79173816E-02      0.78663503E-02      0.17697519E-02
      0.16400000E+00      0.17764990E-01      0.80127353E-02      0.79611481E-02      0.17911065E-02
      0.16500000E+00      0.17978689E-01      0.81090761E-02      0.80569283E-02      0.18126843E-02
      0.16600000E+00      0.18194608E-01      0.82064165E-02      0.81537033E-02      0.18344880E-02
      0.16700000E+00      0.18412776E-01      0.83047694E-02      0.82514859E-02      0.18565207E-02
      0.16800000E+00      0.18633222E-01      0.84041475E-02      0.83502890E-02      0.18787853E-02
      0.16900000E+00      0.18855974E-01      0.85045641E-02      0.84501256E-02      0.19012849E-02
      0.17000000E+00      0.19081064E-01      0.86060324E-02      0.85510089E-02      0.19240225E-02
      0.17100000E+00      0.19308520E-01      0.87085661E-02      0.86529526E-02      0.19470013E-02
      0.17200000E+00      0.19538374E-01      0.88121789E-02      0.87559703E-02      0.19702246E-02
      0.17300000E+00      0.19770656E-01      0.89168848E-02      0.88600759E-02      0.19936954E-02
      0.17400000E+00      0.20005399E-01      0.90226979E-02      0.89652835E-02      0.20174171E-02
      0.17500000E+00      0.20242634E-01      0.91296327E-02      0.90716077E-02      0.20413931E-02
      0.17600000E+00      0.20482393E-01      0.92377039E-02      0.91790628E-02      0.20656268E-02
      0.17700000E+00      0.20724712E-01      0.93469263E-02      0.92876639E-02      0.20901216E-02
      0.17800000E+00      0.20969622E-01      0.94573150E-02      0.93974258E-02      0.21148809E-02
      0.17900000E+00      0.21217158E-01      0.95688855E-02      0.95083640E-02      0.21399085E-02
      0.18000000E+00      0.21467355E-01      0.96816533E-02      0.96204940E-02      0.21652079E-02
      0.18100000E+00      0.21720249E-01      0.97956343E-02      0.97338316E-02      0.21907828E-02
